# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Dieren
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenbakvulling > Kattenbakzakken
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenbakvulling > Kattenbakmatten
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenbakvulling > Kattenbakken
gid://shopify/TaxonomyCategory/ap-2-2-5          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenspeeltjes
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenspeeltjes > Ballen en jagers
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenspeeltjes > Kattenkruidspeeltjes
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenspeeltjes > Kauwspeeltjes
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenspeeltjes > Vogelveren en teasers
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenspeeltjes > Interactieve speeltjes
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenspeeltjes > Laserspeeltjes
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenspeeltjes > Puzzels en snoepjesdispenserspeeltjes
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenspeeltjes > Piepers
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenspeeltjes > Opgevulde speeltjes en knuffels
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenspeeltjes > Tunnels
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattenspeeltjes > Hengels
gid://shopify/TaxonomyCategory/ap-2-2-6          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor katten > Kattensnoepjes
gid://shopify/TaxonomyCategory/ap-2-3            : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden
gid://shopify/TaxonomyCategory/ap-2-3-1          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Luiers en inlegkruisjes voor honden
gid://shopify/TaxonomyCategory/ap-2-3-2          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Hondenluiers
gid://shopify/TaxonomyCategory/ap-2-3-3          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Hondenvoer
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Hondenvoer > Hondenvoer zonder recept
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Hondenvoer > Voorgeschreven hondenvoer
gid://shopify/TaxonomyCategory/ap-2-3-4          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Hondenhokken
gid://shopify/TaxonomyCategory/ap-2-3-5          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Accessoires voor hondenhokken en- rennen
gid://shopify/TaxonomyCategory/ap-2-3-6          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Hondenhokken en -rennen
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Hondenhokken en -rennen > Kleine hondenrennen
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Hondenhokken en -rennen > Grote hondenrennen
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Hondenhokken en -rennen > Hondenhokken voor binnen
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Hondenhokken en -rennen > Hondenhokken voor buiten
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Hondenhokken en -rennen > Draagbare hondenhokken
gid://shopify/TaxonomyCategory/ap-2-3-7          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Hondenspeeltjes
gid://shopify/TaxonomyCategory/ap-2-3-8          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Tredmolens voor honden
gid://shopify/TaxonomyCategory/ap-2-3-9          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor honden > Hondenkoekjes
gid://shopify/TaxonomyCategory/ap-2-4            : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water
gid://shopify/TaxonomyCategory/ap-2-4-1          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Leidingen voor aquariums en vijvers
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Leidingen voor aquariums en vijvers > Luchtleidingen
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Leidingen voor aquariums en vijvers > Spoelleidingen
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Leidingen voor aquariums en vijvers > Flexibele leidingen
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Leidingen voor aquariums en vijvers > Stijve leidingen
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Leidingen voor aquariums en vijvers > Standaard leidingen
gid://shopify/TaxonomyCategory/ap-2-4-2          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Beluchtingssteen voor aquariums
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Beluchtingssteen voor aquariums > Luchtverspreiders
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Beluchtingssteen voor aquariums > Beluchtingssteen in schijfvorm
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Beluchtingssteen voor aquariums > Standaard beluchtingssteen
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Beluchtingssteen voor aquariums > Beluchtingssteen in leidingvorm
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Beluchtingssteen voor aquariums > Beluchtingssteen in muurvorm
gid://shopify/TaxonomyCategory/ap-2-4-3          : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Schoonmaakbenodigdheden voor aquariums
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Schoonmaakbenodigdheden voor aquariums > Algenschrapers
