# Shopify Product Taxonomy - Categories: 2025-05-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Животные и товары для питомцев
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Наполнитель для кошачьего туалета > Пакеты для кошачьего туалета
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Наполнитель для кошачьего туалета > Коврики под кошачий туалет
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Наполнитель для кошачьего туалета > Кошачьи лотки и туалеты
gid://shopify/TaxonomyCategory/ap-2-2-5          : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Игрушки для кошек
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Игрушки для кошек > Мячики и мышки
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Игрушки для кошек > Игрушки с кошачьей мятой
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Игрушки для кошек > Игрушки для жевания
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Игрушки для кошек > Перья и дразнилки
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Игрушки для кошек > Интерактивные игрушки
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Игрушки для кошек > Лазерные игрушки
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Игрушки для кошек > Развивающие игрушки и игрушки-кормушки
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Игрушки для кошек > Пищалки
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Игрушки для кошек > Мягкие игрушки
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Игрушки для кошек > Туннели
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Игрушки для кошек > Удочки
gid://shopify/TaxonomyCategory/ap-2-2-6          : Животные и товары для питомцев > Товары для домашних животных > Товары для кошек > Лакомства для кошек
gid://shopify/TaxonomyCategory/ap-2-3            : Животные и товары для питомцев > Товары для домашних животных > Товары для собак
gid://shopify/TaxonomyCategory/ap-2-3-1          : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Вкладыши для подгузников для собак
gid://shopify/TaxonomyCategory/ap-2-3-2          : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Пеленки и подгузники для собак
gid://shopify/TaxonomyCategory/ap-2-3-3          : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Корм для собак
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Корм для собак > Обычный корм для собак
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Корм для собак > Ветеринарный корм для собак
gid://shopify/TaxonomyCategory/ap-2-3-4          : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Будки и домики для собак
gid://shopify/TaxonomyCategory/ap-2-3-5          : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Аксессуары для вольеров и загонов для собак
gid://shopify/TaxonomyCategory/ap-2-3-6          : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Вольеры и загоны для собак
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Вольеры и загоны для собак > Загоны для собак
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Вольеры и загоны для собак > Вольеры для собак для дома
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Вольеры и загоны для собак > Внутренние вольеры для собак
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Вольеры и загоны для собак > Уличные вольеры для собак
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Вольеры и загоны для собак > Переносные вольеры для собак
gid://shopify/TaxonomyCategory/ap-2-3-7          : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Игрушки для собак
gid://shopify/TaxonomyCategory/ap-2-3-8          : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Беговые дорожки для собак
gid://shopify/TaxonomyCategory/ap-2-3-9          : Животные и товары для питомцев > Товары для домашних животных > Товары для собак > Лакомства для собак
gid://shopify/TaxonomyCategory/ap-2-4            : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-1          : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Трубки и шланги для аквариумов и прудов
