# Shopify Product Taxonomy - Categories: 2024-10-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Tiere & Tierbedarf
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenstreu > Einlagen für Katzentoilette
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenstreu > Vorleger für Katzentoiletten
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenstreu > Katzentoiletten
gid://shopify/TaxonomyCategory/ap-2-2-5          : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Bälle und Jagdspielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Spielzeug mit Katzenminze
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Kauspielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Federn & Katzenangeln
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Interaktives Spielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Laserspielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Rätsel und Futterspenderspielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Quietschspielzeug
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Stoff- und Plüschtiere
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Tunnel
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Katzenspielzeug > Angeln
gid://shopify/TaxonomyCategory/ap-2-2-6          : Tiere & Tierbedarf > Haustierbedarf > Katzenbedarf > Leckerbissen für Katzen
gid://shopify/TaxonomyCategory/ap-2-3            : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf
gid://shopify/TaxonomyCategory/ap-2-3-1          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Einlagen für Hundewindeln
gid://shopify/TaxonomyCategory/ap-2-3-2          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundewindeln
gid://shopify/TaxonomyCategory/ap-2-3-3          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundefutter
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundefutter > Nicht verschreibungspflichtige Hundenahrung
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundefutter > Verschreibungspflichtige Hundenahrung
gid://shopify/TaxonomyCategory/ap-2-3-4          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundehütten
gid://shopify/TaxonomyCategory/ap-2-3-5          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Zubehör für Hundezwinger & -ausläufe
gid://shopify/TaxonomyCategory/ap-2-3-6          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundezwinger & -ausläufe
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundezwinger & -ausläufe > Hundeställe
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundezwinger & -ausläufe > Hundeausläufe
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundezwinger & -ausläufe > Indoor-Hundezwinger
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundezwinger & -ausläufe > Outdoor-Hundezwinger
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundezwinger & -ausläufe > Portable Hundezwinger
gid://shopify/TaxonomyCategory/ap-2-3-7          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundespielzeug
gid://shopify/TaxonomyCategory/ap-2-3-8          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Hundelaufbänder
gid://shopify/TaxonomyCategory/ap-2-3-9          : Tiere & Tierbedarf > Haustierbedarf > Hundebedarf > Leckerbissen für Hunde
gid://shopify/TaxonomyCategory/ap-2-4            : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf
gid://shopify/TaxonomyCategory/ap-2-4-1          : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Schläuche & Rohre für Aquarien und Teiche
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Schläuche & Rohre für Aquarien und Teiche > Luftschläuche und -rohre
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Schläuche & Rohre für Aquarien und Teiche > Spiralschläuche
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Schläuche & Rohre für Aquarien und Teiche > Flexible Rohre
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Schläuche & Rohre für Aquarien und Teiche > Starre Rohre
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Schläuche & Rohre für Aquarien und Teiche > Standardschläuche
gid://shopify/TaxonomyCategory/ap-2-4-2          : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Ausströmersteine & Diffusoren für Aquarien
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Ausströmersteine & Diffusoren für Aquarien > Luftverteiler
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Ausströmersteine & Diffusoren für Aquarien > Scheibenluftsteine
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Ausströmersteine & Diffusoren für Aquarien > Standard-Luftsteine
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Ausströmersteine & Diffusoren für Aquarien > Rohrausströmer
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Ausströmersteine & Diffusoren für Aquarien > Wandausströmer
gid://shopify/TaxonomyCategory/ap-2-4-3          : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Zubehör für Aquariumreinigung
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Zubehör für Aquariumreinigung > Algenschaber
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Zubehör für Aquariumreinigung > Aquarienhandschuhe
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Zubehör für Aquariumreinigung > Reinigungsbürsten
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Zubehör für Aquariumreinigung > Reinigungslösungen
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Zubehör für Aquariumreinigung > Kiesstaubsauger
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Zubehör für Aquariumreinigung > Scheuerpads
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Zubehör für Aquariumreinigung > Siphons
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Zubehör für Aquariumreinigung > Aquarienglasreiniger
gid://shopify/TaxonomyCategory/ap-2-4-4          : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumdekoration
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumdekoration > Aquarienhintergründe
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumdekoration > Aquariumhöhlen und Verstecke
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumdekoration > Aquariensteine
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumdekoration > Aquariensubstrate
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumdekoration > Künstliche Pflanzen
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumdekoration > Blubbernde Dekoration
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumdekoration > Treibholz
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumdekoration > Verzierungen
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumdekoration > Schiffswracks
gid://shopify/TaxonomyCategory/ap-2-4-5          : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumfilter
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumfilter > Außen- und Kanisterfilter für Aquarien
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumfilter > Hang-On-Aquariumfilter
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumfilter > Interne Aquariumfilter
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumfilter > Schwamm-Aquariumfilter
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Tiere & Tierbedarf > Haustierbedarf > Zierfisch- Aquarien- und Teichbedarf > Aquariumfilter > Bodenfilter für Aquarien
