# Shopify Product Taxonomy: 0.3.0
gid://shopify/Taxonomy/Category/aa              : Apparel & Accessories
gid://shopify/Taxonomy/Category/fb-2-17-4       : Food, Beverages & Tobacco > Food Items > Snack Foods > Chips
gid://shopify/Taxonomy/Category/fb-2-17-5       : Food, Beverages & Tobacco > Food Items > Snack Foods > Crackers
gid://shopify/Taxonomy/Category/fb-2-17-6       : Food, Beverages & Tobacco > Food Items > Snack Foods > Croutons
gid://shopify/Taxonomy/Category/fb-2-17-7       : Food, Beverages & Tobacco > Food Items > Snack Foods > Fruit Snacks
gid://shopify/Taxonomy/Category/fb-2-17-8       : Food, Beverages & Tobacco > Food Items > Snack Foods > Jerky
gid://shopify/Taxonomy/Category/fb-2-17-9       : Food, Beverages & Tobacco > Food Items > Snack Foods > Popcorn
gid://shopify/Taxonomy/Category/fb-2-17-10      : Food, Beverages & Tobacco > Food Items > Snack Foods > Pork Rinds
gid://shopify/Taxonomy/Category/fb-2-17-11      : Food, Beverages & Tobacco > Food Items > Snack Foods > Pretzels
gid://shopify/Taxonomy/Category/fb-2-17-12      : Food, Beverages & Tobacco > Food Items > Snack Foods > Pudding & Gelatin Snacks
gid://shopify/Taxonomy/Category/fb-2-17-13      : Food, Beverages & Tobacco > Food Items > Snack Foods > Puffed Rice Cakes
gid://shopify/Taxonomy/Category/fb-2-17-14      : Food, Beverages & Tobacco > Food Items > Snack Foods > Salad Toppings
gid://shopify/Taxonomy/Category/fb-2-17-15      : Food, Beverages & Tobacco > Food Items > Snack Foods > Sesame Sticks
gid://shopify/Taxonomy/Category/fb-2-17-16      : Food, Beverages & Tobacco > Food Items > Snack Foods > Snack Cakes
gid://shopify/Taxonomy/Category/fb-2-17-17      : Food, Beverages & Tobacco > Food Items > Snack Foods > Sticky Rice Cakes
gid://shopify/Taxonomy/Category/fb-2-17-18      : Food, Beverages & Tobacco > Food Items > Snack Foods > Trail & Snack Mixes
gid://shopify/Taxonomy/Category/fb-2-18         : Food, Beverages & Tobacco > Food Items > Soups & Broths
gid://shopify/Taxonomy/Category/fb-2-19         : Food, Beverages & Tobacco > Food Items > Tofu, Soy & Vegetarian Products
gid://shopify/Taxonomy/Category/fb-2-19-1       : Food, Beverages & Tobacco > Food Items > Tofu, Soy & Vegetarian Products > Cheese Alternatives
gid://shopify/Taxonomy/Category/fb-2-19-2       : Food, Beverages & Tobacco > Food Items > Tofu, Soy & Vegetarian Products > Meat Alternatives
gid://shopify/Taxonomy/Category/fb-2-19-3       : Food, Beverages & Tobacco > Food Items > Tofu, Soy & Vegetarian Products > Seitan
gid://shopify/Taxonomy/Category/fb-2-19-4       : Food, Beverages & Tobacco > Food Items > Tofu, Soy & Vegetarian Products > Tempeh
gid://shopify/Taxonomy/Category/fb-2-19-5       : Food, Beverages & Tobacco > Food Items > Tofu, Soy & Vegetarian Products > Tofu
gid://shopify/Taxonomy/Category/fb-3            : Food, Beverages & Tobacco > Tobacco Products
gid://shopify/Taxonomy/Category/fb-3-2          : Food, Beverages & Tobacco > Tobacco Products > Chewing Tobacco
gid://shopify/Taxonomy/Category/fb-3-3          : Food, Beverages & Tobacco > Tobacco Products > Cigarettes
gid://shopify/Taxonomy/Category/fb-3-4          : Food, Beverages & Tobacco > Tobacco Products > Cigars
gid://shopify/Taxonomy/Category/fb-3-5          : Food, Beverages & Tobacco > Tobacco Products > Loose Tobacco
gid://shopify/Taxonomy/Category/fb-3-6          : Food, Beverages & Tobacco > Tobacco Products > Smoking Pipes
gid://shopify/Taxonomy/Category/fb-3-7          : Food, Beverages & Tobacco > Tobacco Products > Vaporizers & Electronic Cigarettes
gid://shopify/Taxonomy/Category/fb-3-7-1        : Food, Beverages & Tobacco > Tobacco Products > Vaporizers & Electronic Cigarettes > E-Liquid
gid://shopify/Taxonomy/Category/fb-3-7-2        : Food, Beverages & Tobacco > Tobacco Products > Vaporizers & Electronic Cigarettes > Electronic Cigarettes
gid://shopify/Taxonomy/Category/fb-3-7-3        : Food, Beverages & Tobacco > Tobacco Products > Vaporizers & Electronic Cigarettes > Vaporizers
gid://shopify/Taxonomy/Category/fr              : Furniture
gid://shopify/Taxonomy/Category/fr-1            : Furniture > Baby & Toddler Furniture
gid://shopify/Taxonomy/Category/fr-1-1          : Furniture > Baby & Toddler Furniture > Baby & Toddler Furniture Sets
gid://shopify/Taxonomy/Category/fr-1-2          : Furniture > Baby & Toddler Furniture > Bassinet & Cradle Accessories
gid://shopify/Taxonomy/Category/fr-1-3          : Furniture > Baby & Toddler Furniture > Bassinets & Cradles
gid://shopify/Taxonomy/Category/fr-1-3-1        : Furniture > Baby & Toddler Furniture > Bassinets & Cradles > Bassinet Playards
gid://shopify/Taxonomy/Category/fr-1-3-2        : Furniture > Baby & Toddler Furniture > Bassinets & Cradles > Bassinets
gid://shopify/Taxonomy/Category/fr-1-3-3        : Furniture > Baby & Toddler Furniture > Bassinets & Cradles > Bedside Bassinets
gid://shopify/Taxonomy/Category/fr-1-3-5        : Furniture > Baby & Toddler Furniture > Bassinets & Cradles > Convertible Bassinets
gid://shopify/Taxonomy/Category/fr-1-3-6        : Furniture > Baby & Toddler Furniture > Bassinets & Cradles > Cradles
gid://shopify/Taxonomy/Category/fr-1-3-7        : Furniture > Baby & Toddler Furniture > Bassinets & Cradles > Folding Bassinets
gid://shopify/Taxonomy/Category/fr-1-3-8        : Furniture > Baby & Toddler Furniture > Bassinets & Cradles > Hanging Bassinets
gid://shopify/Taxonomy/Category/fr-1-3-10       : Furniture > Baby & Toddler Furniture > Bassinets & Cradles > Rocking Bassinets
gid://shopify/Taxonomy/Category/fr-1-3-11       : Furniture > Baby & Toddler Furniture > Bassinets & Cradles > Travel Bassinets
gid://shopify/Taxonomy/Category/fr-1-4          : Furniture > Baby & Toddler Furniture > Changing Tables
gid://shopify/Taxonomy/Category/fr-1-5          : Furniture > Baby & Toddler Furniture > Crib & Toddler Bed Accessories
gid://shopify/Taxonomy/Category/fr-1-5-1        : Furniture > Baby & Toddler Furniture > Crib & Toddler Bed Accessories > Crib Bumpers & Liners
gid://shopify/Taxonomy/Category/fr-1-5-1-1      : Furniture > Baby & Toddler Furniture > Crib & Toddler Bed Accessories > Crib Bumpers & Liners > Crib Liners
gid://shopify/Taxonomy/Category/fr-1-5-1-2      : Furniture > Baby & Toddler Furniture > Crib & Toddler Bed Accessories > Crib Bumpers & Liners > Crib Rail Covers
gid://shopify/Taxonomy/Category/fr-1-5-1-3      : Furniture > Baby & Toddler Furniture > Crib & Toddler Bed Accessories > Crib Bumpers & Liners > Crib Skirts
gid://shopify/Taxonomy/Category/fr-1-5-1-4      : Furniture > Baby & Toddler Furniture > Crib & Toddler Bed Accessories > Crib Bumpers & Liners > Mesh Crib Bumpers
gid://shopify/Taxonomy/Category/fr-1-5-1-5      : Furniture > Baby & Toddler Furniture > Crib & Toddler Bed Accessories > Crib Bumpers & Liners > Padded Crib Bumpers
gid://shopify/Taxonomy/Category/fr-1-5-1-6      : Furniture > Baby & Toddler Furniture > Crib & Toddler Bed Accessories > Crib Bumpers & Liners > Teething Rail Covers
gid://shopify/Taxonomy/Category/fr-1-5-2        : Furniture > Baby & Toddler Furniture > Crib & Toddler Bed Accessories > Crib Conversion Kits
gid://shopify/Taxonomy/Category/fr-1-6          : Furniture > Baby & Toddler Furniture > Cribs & Toddler Beds
gid://shopify/Taxonomy/Category/fr-1-6-4        : Furniture > Baby & Toddler Furniture > Cribs & Toddler Beds > Bunk Toddler Beds
gid://shopify/Taxonomy/Category/fr-1-6-5        : Furniture > Baby & Toddler Furniture > Cribs & Toddler Beds > Canopy Toddler Beds
gid://shopify/Taxonomy/Category/fr-1-6-6        : Furniture > Baby & Toddler Furniture > Cribs & Toddler Beds > Loft Toddler Beds
gid://shopify/Taxonomy/Category/fr-1-6-7        : Furniture > Baby & Toddler Furniture > Cribs & Toddler Beds > Mini Cribs
gid://shopify/Taxonomy/Category/fr-1-6-9        : Furniture > Baby & Toddler Furniture > Cribs & Toddler Beds > Sleigh Toddler Beds
gid://shopify/Taxonomy/Category/fr-1-6-10       : Furniture > Baby & Toddler Furniture > Cribs & Toddler Beds > Standard Cribs
gid://shopify/Taxonomy/Category/fr-1-6-11       : Furniture > Baby & Toddler Furniture > Cribs & Toddler Beds > Toddler Beds
gid://shopify/Taxonomy/Category/fr-1-6-12       : Furniture > Baby & Toddler Furniture > Cribs & Toddler Beds > Travel Cribs
gid://shopify/Taxonomy/Category/fr-1-7          : Furniture > Baby & Toddler Furniture > High Chair & Booster Seat Accessories
gid://shopify/Taxonomy/Category/fr-1-8          : Furniture > Baby & Toddler Furniture > High Chairs & Booster Seats
gid://shopify/Taxonomy/Category/fr-1-8-2        : Furniture > Baby & Toddler Furniture > High Chairs & Booster Seats > Booster Feeding Seats
gid://shopify/Taxonomy/Category/fr-1-8-3        : Furniture > Baby & Toddler Furniture > High Chairs & Booster Seats > Convertible High Chairs
gid://shopify/Taxonomy/Category/fr-1-8-4        : Furniture > Baby & Toddler Furniture > High Chairs & Booster Seats > High Chairs
gid://shopify/Taxonomy/Category/fr-1-8-5        : Furniture > Baby & Toddler Furniture > High Chairs & Booster Seats > Hook-On Seats
gid://shopify/Taxonomy/Category/fr-1-9          : Furniture > Baby & Toddler Furniture > Play Sofas
gid://shopify/Taxonomy/Category/fr-2            : Furniture > Beds & Accessories
gid://shopify/Taxonomy/Category/fr-2-1          : Furniture > Beds & Accessories > Bed & Bed Frame Accessories
gid://shopify/Taxonomy/Category/fr-2-2          : Furniture > Beds & Accessories > Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-1        : Furniture > Beds & Accessories > Beds & Bed Frames > Air Beds
gid://shopify/Taxonomy/Category/fr-2-2-2        : Furniture > Beds & Accessories > Beds & Bed Frames > Bunk Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-3        : Furniture > Beds & Accessories > Beds & Bed Frames > Cabin Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-4        : Furniture > Beds & Accessories > Beds & Bed Frames > Canopy Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-5        : Furniture > Beds & Accessories > Beds & Bed Frames > Cot Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-6        : Furniture > Beds & Accessories > Beds & Bed Frames > Divan Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-7        : Furniture > Beds & Accessories > Beds & Bed Frames > Four Posters
gid://shopify/Taxonomy/Category/fr-2-2-8        : Furniture > Beds & Accessories > Beds & Bed Frames > Loft Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-9        : Furniture > Beds & Accessories > Beds & Bed Frames > Mid-Century Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-10       : Furniture > Beds & Accessories > Beds & Bed Frames > Panel Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-11       : Furniture > Beds & Accessories > Beds & Bed Frames > Platform Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-12       : Furniture > Beds & Accessories > Beds & Bed Frames > Slat Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-13       : Furniture > Beds & Accessories > Beds & Bed Frames > Sleigh Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-14       : Furniture > Beds & Accessories > Beds & Bed Frames > Trundle Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-15       : Furniture > Beds & Accessories > Beds & Bed Frames > Wall Beds & Bed Frames
gid://shopify/Taxonomy/Category/fr-2-2-16       : Furniture > Beds & Accessories > Beds & Bed Frames > Water Beds
gid://shopify/Taxonomy/Category/fr-2-3          : Furniture > Beds & Accessories > Footboards
gid://shopify/Taxonomy/Category/fr-2-4          : Furniture > Beds & Accessories > Headboards
gid://shopify/Taxonomy/Category/fr-2-5          : Furniture > Beds & Accessories > Mattress Foundations
gid://shopify/Taxonomy/Category/fr-2-5-1        : Furniture > Beds & Accessories > Mattress Foundations > Adjustable Bases
gid://shopify/Taxonomy/Category/fr-2-5-2        : Furniture > Beds & Accessories > Mattress Foundations > Box Springs
gid://shopify/Taxonomy/Category/fr-2-5-3        : Furniture > Beds & Accessories > Mattress Foundations > Bunkie Boards
gid://shopify/Taxonomy/Category/fr-2-5-4        : Furniture > Beds & Accessories > Mattress Foundations > Foldable Metal Foundations
gid://shopify/Taxonomy/Category/fr-2-5-5        : Furniture > Beds & Accessories > Mattress Foundations > Foundations & Frames-in-One
gid://shopify/Taxonomy/Category/fr-2-5-7        : Furniture > Beds & Accessories > Mattress Foundations > Panel Bases
gid://shopify/Taxonomy/Category/fr-2-5-8        : Furniture > Beds & Accessories > Mattress Foundations > Platform Bases
gid://shopify/Taxonomy/Category/fr-2-6          : Furniture > Beds & Accessories > Mattresses
gid://shopify/Taxonomy/Category/fr-2-6-1        : Furniture > Beds & Accessories > Mattresses > Gel Foam Mattresses
gid://shopify/Taxonomy/Category/fr-2-6-2        : Furniture > Beds & Accessories > Mattresses > High Resilience Foam Mattresses
gid://shopify/Taxonomy/Category/fr-2-6-3        : Furniture > Beds & Accessories > Mattresses > Innerspring Mattresses
gid://shopify/Taxonomy/Category/fr-2-6-4        : Furniture > Beds & Accessories > Mattresses > Latex Mattresses
gid://shopify/Taxonomy/Category/fr-2-6-5        : Furniture > Beds & Accessories > Mattresses > Memory Foam Mattresses
gid://shopify/Taxonomy/Category/fr-2-6-6        : Furniture > Beds & Accessories > Mattresses > Rolled Mattresses
gid://shopify/Taxonomy/Category/fr-2-6-7        : Furniture > Beds & Accessories > Mattresses > Water Mattresses
gid://shopify/Taxonomy/Category/fr-3            : Furniture > Benches
gid://shopify/Taxonomy/Category/fr-3-1          : Furniture > Benches > Kitchen & Dining Benches
gid://shopify/Taxonomy/Category/fr-3-1-1        : Furniture > Benches > Kitchen & Dining Benches > Backed Benches
gid://shopify/Taxonomy/Category/fr-3-1-2        : Furniture > Benches > Kitchen & Dining Benches > Backless Benches
gid://shopify/Taxonomy/Category/fr-3-1-3        : Furniture > Benches > Kitchen & Dining Benches > Banquettes
gid://shopify/Taxonomy/Category/fr-3-1-4        : Furniture > Benches > Kitchen & Dining Benches > Booths
gid://shopify/Taxonomy/Category/fr-3-1-5        : Furniture > Benches > Kitchen & Dining Benches > Corner Benches
gid://shopify/Taxonomy/Category/fr-3-1-6        : Furniture > Benches > Kitchen & Dining Benches > Counter Height Benches
gid://shopify/Taxonomy/Category/fr-3-1-7        : Furniture > Benches > Kitchen & Dining Benches > Dining Benches
gid://shopify/Taxonomy/Category/fr-3-1-8        : Furniture > Benches > Kitchen & Dining Benches > Farmhouse Benches
gid://shopify/Taxonomy/Category/fr-3-1-9        : Furniture > Benches > Kitchen & Dining Benches > Kitchen Nook Benches
gid://shopify/Taxonomy/Category/fr-3-1-10       : Furniture > Benches > Kitchen & Dining Benches > L-Shaped Benches
gid://shopify/Taxonomy/Category/fr-3-1-11       : Furniture > Benches > Kitchen & Dining Benches > Saddle Benches
gid://shopify/Taxonomy/Category/fr-3-1-13       : Furniture > Benches > Kitchen & Dining Benches > Storage Benches
gid://shopify/Taxonomy/Category/fr-3-1-14       : Furniture > Benches > Kitchen & Dining Benches > Trestles
gid://shopify/Taxonomy/Category/fr-3-1-15       : Furniture > Benches > Kitchen & Dining Benches > Upholstered Benches
gid://shopify/Taxonomy/Category/fr-3-2          : Furniture > Benches > Storage & Entryway Benches
gid://shopify/Taxonomy/Category/fr-3-2-1        : Furniture > Benches > Storage & Entryway Benches > Basket Benches
gid://shopify/Taxonomy/Category/fr-3-2-2        : Furniture > Benches > Storage & Entryway Benches > Coat Racks
gid://shopify/Taxonomy/Category/fr-3-2-3        : Furniture > Benches > Storage & Entryway Benches > Cubby Benches
gid://shopify/Taxonomy/Category/fr-3-2-4        : Furniture > Benches > Storage & Entryway Benches > Drawer Storage Benches
gid://shopify/Taxonomy/Category/fr-3-2-5        : Furniture > Benches > Storage & Entryway Benches > Entryway Benches
gid://shopify/Taxonomy/Category/fr-3-2-6        : Furniture > Benches > Storage & Entryway Benches > Hall Trees
gid://shopify/Taxonomy/Category/fr-3-2-7        : Furniture > Benches > Storage & Entryway Benches > Hook Benches
gid://shopify/Taxonomy/Category/fr-3-2-8        : Furniture > Benches > Storage & Entryway Benches > Lidded Storage Benches
gid://shopify/Taxonomy/Category/fr-3-2-9        : Furniture > Benches > Storage & Entryway Benches > Lift-Top Storage Benches
gid://shopify/Taxonomy/Category/fr-3-2-10       : Furniture > Benches > Storage & Entryway Benches > Locker Benches
gid://shopify/Taxonomy/Category/fr-3-2-12       : Furniture > Benches > Storage & Entryway Benches > Shoe Storage Benches
gid://shopify/Taxonomy/Category/fr-3-2-13       : Furniture > Benches > Storage & Entryway Benches > Upholstered Storage Benches
gid://shopify/Taxonomy/Category/fr-3-2-14       : Furniture > Benches > Storage & Entryway Benches > Window Seats
gid://shopify/Taxonomy/Category/fr-3-3          : Furniture > Benches > Vanity Benches
gid://shopify/Taxonomy/Category/fr-4            : Furniture > Cabinets & Storage
gid://shopify/Taxonomy/Category/fr-4-1          : Furniture > Cabinets & Storage > Armoires & Wardrobes
gid://shopify/Taxonomy/Category/fr-4-1-1        : Furniture > Cabinets & Storage > Armoires & Wardrobes > Computer Armoires
gid://shopify/Taxonomy/Category/fr-4-1-2        : Furniture > Cabinets & Storage > Armoires & Wardrobes > Corner Armoires
gid://shopify/Taxonomy/Category/fr-4-1-3        : Furniture > Cabinets & Storage > Armoires & Wardrobes > Corner Wardrobes
gid://shopify/Taxonomy/Category/fr-4-1-4        : Furniture > Cabinets & Storage > Armoires & Wardrobes > Double Wardrobes
gid://shopify/Taxonomy/Category/fr-4-1-5        : Furniture > Cabinets & Storage > Armoires & Wardrobes > Hanging Rail Wardrobes
gid://shopify/Taxonomy/Category/fr-4-1-6        : Furniture > Cabinets & Storage > Armoires & Wardrobes > Hinged Door Wardrobes
gid://shopify/Taxonomy/Category/fr-4-1-7        : Furniture > Cabinets & Storage > Armoires & Wardrobes > Jewelry Armoires
gid://shopify/Taxonomy/Category/fr-4-1-8        : Furniture > Cabinets & Storage > Armoires & Wardrobes > Kids' Armoires
gid://shopify/Taxonomy/Category/fr-4-1-9        : Furniture > Cabinets & Storage > Armoires & Wardrobes > Kids' Wardrobes
gid://shopify/Taxonomy/Category/fr-4-1-10       : Furniture > Cabinets & Storage > Armoires & Wardrobes > Mirrored Armoires
gid://shopify/Taxonomy/Category/fr-4-1-11       : Furniture > Cabinets & Storage > Armoires & Wardrobes > Mirrored Wardrobes
gid://shopify/Taxonomy/Category/fr-4-1-12       : Furniture > Cabinets & Storage > Armoires & Wardrobes > Office Armoires
gid://shopify/Taxonomy/Category/fr-4-1-13       : Furniture > Cabinets & Storage > Armoires & Wardrobes > Portable Wardrobes
gid://shopify/Taxonomy/Category/fr-4-1-14       : Furniture > Cabinets & Storage > Armoires & Wardrobes > Shelved Armoires
gid://shopify/Taxonomy/Category/fr-4-1-15       : Furniture > Cabinets & Storage > Armoires & Wardrobes > Sliding Door Wardrobes
gid://shopify/Taxonomy/Category/fr-4-1-17       : Furniture > Cabinets & Storage > Armoires & Wardrobes > TV Armoires
gid://shopify/Taxonomy/Category/fr-4-1-16       : Furniture > Cabinets & Storage > Armoires & Wardrobes > Triple Wardrobes
gid://shopify/Taxonomy/Category/fr-4-2          : Furniture > Cabinets & Storage > Buffets
gid://shopify/Taxonomy/Category/fr-4-3          : Furniture > Cabinets & Storage > China Cabinets & Hutches
gid://shopify/Taxonomy/Category/fr-4-3-1        : Furniture > Cabinets & Storage > China Cabinets & Hutches > Buffets with Hutch
gid://shopify/Taxonomy/Category/fr-4-3-2        : Furniture > Cabinets & Storage > China Cabinets & Hutches > Cabinet Hutches
gid://shopify/Taxonomy/Category/fr-4-3-3        : Furniture > Cabinets & Storage > China Cabinets & Hutches > China Cabinets
gid://shopify/Taxonomy/Category/fr-4-3-4        : Furniture > Cabinets & Storage > China Cabinets & Hutches > Corner Display Cabinets
gid://shopify/Taxonomy/Category/fr-4-3-5        : Furniture > Cabinets & Storage > China Cabinets & Hutches > Corner Hutches
gid://shopify/Taxonomy/Category/fr-4-3-6        : Furniture > Cabinets & Storage > China Cabinets & Hutches > Credenza Hutches
gid://shopify/Taxonomy/Category/fr-4-3-7        : Furniture > Cabinets & Storage > China Cabinets & Hutches > Dining Room Hutches
gid://shopify/Taxonomy/Category/fr-4-3-8        : Furniture > Cabinets & Storage > China Cabinets & Hutches > Display Hutches
gid://shopify/Taxonomy/Category/fr-4-3-9        : Furniture > Cabinets & Storage > China Cabinets & Hutches > Kitchen Hutches
gid://shopify/Taxonomy/Category/fr-4-3-10       : Furniture > Cabinets & Storage > China Cabinets & Hutches > Secretary Desks with Hutch
gid://shopify/Taxonomy/Category/fr-4-3-11       : Furniture > Cabinets & Storage > China Cabinets & Hutches > Server Hutches
gid://shopify/Taxonomy/Category/fr-4-3-12       : Furniture > Cabinets & Storage > China Cabinets & Hutches > Sideboards with Hutch
gid://shopify/Taxonomy/Category/fr-4-3-13       : Furniture > Cabinets & Storage > China Cabinets & Hutches > Tall Display Cabinets
gid://shopify/Taxonomy/Category/fr-4-3-14       : Furniture > Cabinets & Storage > China Cabinets & Hutches > Wall-Mounted Hutches
gid://shopify/Taxonomy/Category/fr-4-4          : Furniture > Cabinets & Storage > Closets & Closet Accessories
gid://shopify/Taxonomy/Category/fr-4-4-1        : Furniture > Cabinets & Storage > Closets & Closet Accessories > Closet Baskets
gid://shopify/Taxonomy/Category/fr-4-4-2        : Furniture > Cabinets & Storage > Closets & Closet Accessories > Closet Bins
gid://shopify/Taxonomy/Category/fr-4-4-3        : Furniture > Cabinets & Storage > Closets & Closet Accessories > Closet Doors
gid://shopify/Taxonomy/Category/fr-4-4-4        : Furniture > Cabinets & Storage > Closets & Closet Accessories > Closet Drawers
gid://shopify/Taxonomy/Category/fr-4-4-5        : Furniture > Cabinets & Storage > Closets & Closet Accessories > Closet Rods
gid://shopify/Taxonomy/Category/fr-4-4-6        : Furniture > Cabinets & Storage > Closets & Closet Accessories > Closet Shelves
gid://shopify/Taxonomy/Category/fr-4-4-7        : Furniture > Cabinets & Storage > Closets & Closet Accessories > Kids' Closets
gid://shopify/Taxonomy/Category/fr-4-4-8        : Furniture > Cabinets & Storage > Closets & Closet Accessories > Reach-In Closets
gid://shopify/Taxonomy/Category/fr-4-4-9        : Furniture > Cabinets & Storage > Closets & Closet Accessories > Walk-In Closets
gid://shopify/Taxonomy/Category/fr-4-5          : Furniture > Cabinets & Storage > Dressers
gid://shopify/Taxonomy/Category/fr-4-6          : Furniture > Cabinets & Storage > File Cabinets
gid://shopify/Taxonomy/Category/fr-4-7          : Furniture > Cabinets & Storage > Ironing Centers
gid://shopify/Taxonomy/Category/fr-4-8          : Furniture > Cabinets & Storage > Kitchen Cabinets
gid://shopify/Taxonomy/Category/fr-4-8-1        : Furniture > Cabinets & Storage > Kitchen Cabinets > Base Kitchen Cabinets
gid://shopify/Taxonomy/Category/fr-4-8-2        : Furniture > Cabinets & Storage > Kitchen Cabinets > Corner Kitchen Cabinets
gid://shopify/Taxonomy/Category/fr-4-8-3        : Furniture > Cabinets & Storage > Kitchen Cabinets > Double Doors
gid://shopify/Taxonomy/Category/fr-4-8-4        : Furniture > Cabinets & Storage > Kitchen Cabinets > Drawer Base Kitchen Cabinets
gid://shopify/Taxonomy/Category/fr-4-8-5        : Furniture > Cabinets & Storage > Kitchen Cabinets > Farmhouse Kitchen Cabinets
gid://shopify/Taxonomy/Category/fr-4-8-6        : Furniture > Cabinets & Storage > Kitchen Cabinets > Glass-Front Kitchen Cabinets
gid://shopify/Taxonomy/Category/fr-4-8-7        : Furniture > Cabinets & Storage > Kitchen Cabinets > Hutch-Style Kitchen Cabinets
gid://shopify/Taxonomy/Category/fr-4-8-8        : Furniture > Cabinets & Storage > Kitchen Cabinets > Microwave Cabinets
gid://shopify/Taxonomy/Category/fr-4-8-9        : Furniture > Cabinets & Storage > Kitchen Cabinets > Open Shelves
gid://shopify/Taxonomy/Category/fr-4-8-10       : Furniture > Cabinets & Storage > Kitchen Cabinets > Oven Cabinets
gid://shopify/Taxonomy/Category/fr-4-8-11       : Furniture > Cabinets & Storage > Kitchen Cabinets > Pantries
gid://shopify/Taxonomy/Category/fr-4-8-12       : Furniture > Cabinets & Storage > Kitchen Cabinets > Pull-Out Trash Cans
gid://shopify/Taxonomy/Category/fr-4-8-13       : Furniture > Cabinets & Storage > Kitchen Cabinets > Single Door Kitchen Cabinets
gid://shopify/Taxonomy/Category/fr-4-8-14       : Furniture > Cabinets & Storage > Kitchen Cabinets > Sink Base Cabinets
gid://shopify/Taxonomy/Category/fr-4-8-15       : Furniture > Cabinets & Storage > Kitchen Cabinets > Tall Kitchen Cabinets
gid://shopify/Taxonomy/Category/fr-4-8-16       : Furniture > Cabinets & Storage > Kitchen Cabinets > Wall Kitchen Cabinets
gid://shopify/Taxonomy/Category/fr-4-9          : Furniture > Cabinets & Storage > Magazine Racks
gid://shopify/Taxonomy/Category/fr-4-10         : Furniture > Cabinets & Storage > Media Storage Cabinets & Racks
gid://shopify/Taxonomy/Category/fr-4-11         : Furniture > Cabinets & Storage > Sideboards
gid://shopify/Taxonomy/Category/fr-4-12         : Furniture > Cabinets & Storage > Storage Cabinets & Lockers
gid://shopify/Taxonomy/Category/fr-4-13         : Furniture > Cabinets & Storage > Storage Chests
gid://shopify/Taxonomy/Category/fr-4-13-1       : Furniture > Cabinets & Storage > Storage Chests > Hope Chests
gid://shopify/Taxonomy/Category/fr-4-13-2       : Furniture > Cabinets & Storage > Storage Chests > Toy Chests
gid://shopify/Taxonomy/Category/fr-4-14         : Furniture > Cabinets & Storage > Vanities
gid://shopify/Taxonomy/Category/fr-4-14-1       : Furniture > Cabinets & Storage > Vanities > Bathroom Vanities
gid://shopify/Taxonomy/Category/fr-4-14-1-1     : Furniture > Cabinets & Storage > Vanities > Bathroom Vanities > Bathroom Cabinets
gid://shopify/Taxonomy/Category/fr-4-14-1-2     : Furniture > Cabinets & Storage > Vanities > Bathroom Vanities > Bathroom Vanity Sets
gid://shopify/Taxonomy/Category/fr-4-14-1-3     : Furniture > Cabinets & Storage > Vanities > Bathroom Vanities > Corner Vanities
gid://shopify/Taxonomy/Category/fr-4-14-1-4     : Furniture > Cabinets & Storage > Vanities > Bathroom Vanities > Double Sinks
gid://shopify/Taxonomy/Category/fr-4-14-1-5     : Furniture > Cabinets & Storage > Vanities > Bathroom Vanities > Floating Vanities
gid://shopify/Taxonomy/Category/fr-4-14-1-6     : Furniture > Cabinets & Storage > Vanities > Bathroom Vanities > Free-Standing Vanities
gid://shopify/Taxonomy/Category/fr-4-14-1-7     : Furniture > Cabinets & Storage > Vanities > Bathroom Vanities > Pedestal Vanities
gid://shopify/Taxonomy/Category/fr-4-14-1-8     : Furniture > Cabinets & Storage > Vanities > Bathroom Vanities > Single Sink Vanities
gid://shopify/Taxonomy/Category/fr-4-14-1-9     : Furniture > Cabinets & Storage > Vanities > Bathroom Vanities > Topless Vanities
gid://shopify/Taxonomy/Category/fr-4-14-1-10    : Furniture > Cabinets & Storage > Vanities > Bathroom Vanities > Topped Vanities
gid://shopify/Taxonomy/Category/fr-4-14-1-11    : Furniture > Cabinets & Storage > Vanities > Bathroom Vanities > Vanity Bases
gid://shopify/Taxonomy/Category/fr-4-14-2       : Furniture > Cabinets & Storage > Vanities > Bedroom Vanities
gid://shopify/Taxonomy/Category/fr-4-14-2-1     : Furniture > Cabinets & Storage > Vanities > Bedroom Vanities > Bedroom Vanity Sets
gid://shopify/Taxonomy/Category/fr-4-14-2-3     : Furniture > Cabinets & Storage > Vanities > Bedroom Vanities > Desk Vanities
