# Shopify Product Taxonomy: 0.3.0
gid://shopify/Taxonomy/Category/aa              : Apparel & Accessories
gid://shopify/Taxonomy/Category/aa-1-2-4-17-4   : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Motorcycle Outerwear
gid://shopify/Taxonomy/Category/aa-1-2-4-17-5   : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Overcoats
gid://shopify/Taxonomy/Category/aa-1-2-4-17-6   : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Parkas
gid://shopify/Taxonomy/Category/aa-1-2-4-17-7   : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Pea Coats
gid://shopify/Taxonomy/Category/aa-1-2-4-17-8   : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Ponchos
gid://shopify/Taxonomy/Category/aa-1-2-4-17-9   : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Puffer Jackets
gid://shopify/Taxonomy/Category/aa-1-2-4-17-10  : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Rain Coats
gid://shopify/Taxonomy/Category/aa-1-2-4-17-11  : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Sport Jackets
gid://shopify/Taxonomy/Category/aa-1-2-4-17-12  : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Track Jackets
gid://shopify/Taxonomy/Category/aa-1-2-4-17-13  : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Trench Coats
gid://shopify/Taxonomy/Category/aa-1-2-4-17-14  : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Trucker Jackets
gid://shopify/Taxonomy/Category/aa-1-2-4-17-15  : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Windbreakers
gid://shopify/Taxonomy/Category/aa-1-2-4-17-16  : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Baby & Toddler Coats & Jackets > Wrap Coats
gid://shopify/Taxonomy/Category/aa-1-2-4-18     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outerwear > Snow Pants & Suits
gid://shopify/Taxonomy/Category/aa-1-2-5        : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outfits
gid://shopify/Taxonomy/Category/aa-1-2-6        : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Sleepwear
gid://shopify/Taxonomy/Category/aa-1-2-7        : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Socks & Tights
gid://shopify/Taxonomy/Category/aa-1-2-8        : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear
gid://shopify/Taxonomy/Category/aa-1-2-8-2      : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > Burkinis
gid://shopify/Taxonomy/Category/aa-1-2-8-3      : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > Classic Bikinis
gid://shopify/Taxonomy/Category/aa-1-2-8-4      : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > Cover Ups
gid://shopify/Taxonomy/Category/aa-1-2-8-22     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > One-Piece Swimsuits
gid://shopify/Taxonomy/Category/aa-1-2-8-9      : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > Rash Guards
gid://shopify/Taxonomy/Category/aa-1-2-8-10     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > Skirtinis
gid://shopify/Taxonomy/Category/aa-1-2-8-23     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > Surf Tops
gid://shopify/Taxonomy/Category/aa-1-2-8-13     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > Swim Boxers
gid://shopify/Taxonomy/Category/aa-1-2-8-14     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > Swim Briefs
gid://shopify/Taxonomy/Category/aa-1-2-8-15     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > Swim Dresses
gid://shopify/Taxonomy/Category/aa-1-2-8-16     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > Swim Jammers
gid://shopify/Taxonomy/Category/aa-1-2-8-17     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > Swim Trunks
gid://shopify/Taxonomy/Category/aa-1-2-8-24     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Swimwear > Swimwear Tops
gid://shopify/Taxonomy/Category/aa-1-2-9        : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops
gid://shopify/Taxonomy/Category/aa-1-2-9-2      : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops > Bodysuits
gid://shopify/Taxonomy/Category/aa-1-2-9-3      : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops > Cardigans
gid://shopify/Taxonomy/Category/aa-1-2-9-4      : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops > Overshirts
gid://shopify/Taxonomy/Category/aa-1-2-9-5      : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops > Polos
gid://shopify/Taxonomy/Category/aa-1-2-9-6      : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops > Shirts
gid://shopify/Taxonomy/Category/aa-1-2-9-7      : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops > T-Shirts
gid://shopify/Taxonomy/Category/aa-1-2-10       : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby One-Pieces
gid://shopify/Taxonomy/Category/aa-1-2-11       : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Toddler Underwear
gid://shopify/Taxonomy/Category/aa-1-2-11-1     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Toddler Underwear > Boxer Briefs
gid://shopify/Taxonomy/Category/aa-1-2-11-2     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Toddler Underwear > Boxers
gid://shopify/Taxonomy/Category/aa-1-2-11-3     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Toddler Underwear > Briefs
gid://shopify/Taxonomy/Category/aa-1-2-11-4     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Toddler Underwear > Panties
gid://shopify/Taxonomy/Category/aa-1-2-11-5     : Apparel & Accessories > Clothing > Baby & Toddler Clothing > Toddler Underwear > Training Pants
gid://shopify/Taxonomy/Category/aa-1-3          : Apparel & Accessories > Clothing > Boys' Underwear
gid://shopify/Taxonomy/Category/aa-1-3-1        : Apparel & Accessories > Clothing > Boys' Underwear > Boys' Long Johns
gid://shopify/Taxonomy/Category/aa-1-3-2        : Apparel & Accessories > Clothing > Boys' Underwear > Boys' Underpants
gid://shopify/Taxonomy/Category/aa-1-3-2-1      : Apparel & Accessories > Clothing > Boys' Underwear > Boys' Underpants > Boxer Briefs
gid://shopify/Taxonomy/Category/aa-1-3-2-2      : Apparel & Accessories > Clothing > Boys' Underwear > Boys' Underpants > Boxer Shorts
gid://shopify/Taxonomy/Category/aa-1-3-2-3      : Apparel & Accessories > Clothing > Boys' Underwear > Boys' Underpants > Briefs
gid://shopify/Taxonomy/Category/aa-1-3-2-4      : Apparel & Accessories > Clothing > Boys' Underwear > Boys' Underpants > Midway Briefs
gid://shopify/Taxonomy/Category/aa-1-3-2-5      : Apparel & Accessories > Clothing > Boys' Underwear > Boys' Underpants > Trunks
gid://shopify/Taxonomy/Category/aa-1-3-3        : Apparel & Accessories > Clothing > Boys' Underwear > Boys' Undershirts
gid://shopify/Taxonomy/Category/aa-1-13         : Apparel & Accessories > Clothing > Clothing Tops
gid://shopify/Taxonomy/Category/aa-1-13-1       : Apparel & Accessories > Clothing > Clothing Tops > Blouses
gid://shopify/Taxonomy/Category/aa-1-13-2       : Apparel & Accessories > Clothing > Clothing Tops > Bodysuits
gid://shopify/Taxonomy/Category/aa-1-13-3       : Apparel & Accessories > Clothing > Clothing Tops > Cardigans
gid://shopify/Taxonomy/Category/aa-1-13-5       : Apparel & Accessories > Clothing > Clothing Tops > Overshirts
gid://shopify/Taxonomy/Category/aa-1-13-6       : Apparel & Accessories > Clothing > Clothing Tops > Polos
gid://shopify/Taxonomy/Category/aa-1-13-7       : Apparel & Accessories > Clothing > Clothing Tops > Shirts
gid://shopify/Taxonomy/Category/aa-1-13-8       : Apparel & Accessories > Clothing > Clothing Tops > T-Shirts
gid://shopify/Taxonomy/Category/aa-1-13-9       : Apparel & Accessories > Clothing > Clothing Tops > Tank Tops
gid://shopify/Taxonomy/Category/aa-1-13-11      : Apparel & Accessories > Clothing > Clothing Tops > Tunics
gid://shopify/Taxonomy/Category/aa-1-4          : Apparel & Accessories > Clothing > Dresses
gid://shopify/Taxonomy/Category/aa-1-5          : Apparel & Accessories > Clothing > Girls' Underwear
gid://shopify/Taxonomy/Category/aa-1-5-1        : Apparel & Accessories > Clothing > Girls' Underwear > Girls' Long Johns
gid://shopify/Taxonomy/Category/aa-1-5-2        : Apparel & Accessories > Clothing > Girls' Underwear > Girls' Underpants
gid://shopify/Taxonomy/Category/aa-1-5-2-1      : Apparel & Accessories > Clothing > Girls' Underwear > Girls' Underpants > Bikinis
gid://shopify/Taxonomy/Category/aa-1-5-2-2      : Apparel & Accessories > Clothing > Girls' Underwear > Girls' Underpants > Boxer Briefs
