# Shopify Product Taxonomy - Categories: 2025-11-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Gyvūnai ir prekės naminiams gyvūnams
gid://shopify/TaxonomyCategory/ap-2-2-2-3        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Baldai katėms > Draskyklės ir draskymo stovai katėms
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Baldai katėms > Laiptai ir rampos katėms
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Baldai katėms > Medžiai ir bokštai katėms
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Baldai katėms > Gulyklos prie lango ir paaukštintos platformos katėms
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Baldai katėms > Lauko nameliai katėms
gid://shopify/TaxonomyCategory/ap-2-2-3          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Baldų katėms priedai
gid://shopify/TaxonomyCategory/ap-2-2-4          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Kačių kraikas
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Kačių kraikas > Kačių kraiko dėžučių įdėklai
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Kačių kraikas > Kačių kraiko dėžučių kilimėliai
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Kačių kraikas > Kačių kraiko dėžutės
gid://shopify/TaxonomyCategory/ap-2-2-5          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Žaislai katėms
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Žaislai katėms > Kamuoliai ir gaudyklės
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Žaislai katėms > Žaislai su katžole
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Žaislai katėms > Kramtomi žaislai
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Žaislai katėms > Plunksnos ir gaudymo žaislai
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Žaislai katėms > Interaktyvūs žaislai
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Žaislai katėms > Lazeriniai žaislai
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Žaislai katėms > Galvosūkiai ir skanėstų dozavimo žaislai
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Žaislai katėms > Cypiantys žaislai
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Žaislai katėms > Kimšti ir pliušiniai žaislai
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Žaislai katėms > Tuneliai
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Žaislai katėms > Lazdelės
gid://shopify/TaxonomyCategory/ap-2-2-6          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės katėms > Skanėstai katėms
gid://shopify/TaxonomyCategory/ap-2-3            : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims
gid://shopify/TaxonomyCategory/ap-2-3-1          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Sauskelnių šunims įklotai
gid://shopify/TaxonomyCategory/ap-2-3-2          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Sauskelnės šunims
gid://shopify/TaxonomyCategory/ap-2-3-3          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Šunų maistas
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Šunų maistas > Nereceptinis šunų maistas
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Šunų maistas > Receptinis šunų maistas
gid://shopify/TaxonomyCategory/ap-2-3-4          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Šunų būdos
gid://shopify/TaxonomyCategory/ap-2-3-5          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Šunidžių ir aikštelių šunims priedai
gid://shopify/TaxonomyCategory/ap-2-3-6          : Gyvūnai ir prekės naminiams gyvūnams > Prekės naminiams gyvūnams > Prekės šunims > Šunidės ir aikštelės šunims
