# Shopify Product Taxonomy - Categories: 0.18.0
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Animaux et articles pour animaux de compagnie
gid://shopify/TaxonomyCategory/ap-2-2-2-4        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Meubles pour chats > Marches et rampes pour chats
gid://shopify/TaxonomyCategory/ap-2-2-2-5        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Meubles pour chats > Arbres à chat et tours
gid://shopify/TaxonomyCategory/ap-2-2-2-6        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Meubles pour chats > Lits et perchoirs pour chats
gid://shopify/TaxonomyCategory/ap-2-2-2-7        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Meubles pour chats > Niches extérieures pour chats
gid://shopify/TaxonomyCategory/ap-2-2-3          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Accessoires pour meubles pour chats
gid://shopify/TaxonomyCategory/ap-2-2-4          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Litière pour chats
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Litière pour chats > Sacs à litière pour chats
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Litière pour chats > Tapis de bacs à litière pour chats
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Litière pour chats > Bacs à litière pour chats
gid://shopify/TaxonomyCategory/ap-2-2-5          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Jouets pour chats
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Jouets pour chats > Balles et jouets à attraper
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Jouets pour chats > Jouets à l'herbe à chat
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Jouets pour chats > Jouets à mâcher
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Jouets pour chats > Plumes et bâtons
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Jouets pour chats > Jouets interactifs
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Jouets pour chats > Jouets laser
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Jouets pour chats > Puzzles et jouets distributeurs de friandises
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Jouets pour chats > Jouets bruyants
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Jouets pour chats > Jouets en peluche et peluches
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Jouets pour chats > Tunnels
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Jouets pour chats > Baguettes
gid://shopify/TaxonomyCategory/ap-2-2-6          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chats > Friandises pour chats
gid://shopify/TaxonomyCategory/ap-2-3            : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-1          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Protections de rechange pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-2          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Culottes hygiéniques pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-3          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Nourriture pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Nourriture pour chiens > Aliments pour chiens sans ordonnance
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Nourriture pour chiens > Aliments pour chiens avec ordonnance
gid://shopify/TaxonomyCategory/ap-2-3-4          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Niches pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-5          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Accessoires pour niches et enclos pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-6          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Niches et enclos pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Niches et enclos pour chiens > Niche pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Niches et enclos pour chiens > Enclos pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Niches et enclos pour chiens > Niches d'intérieur pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Niches et enclos pour chiens > Niches extérieurs pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Niches et enclos pour chiens > Niches portables pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-7          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Jouets pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-8          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Tapis de course pour chiens
gid://shopify/TaxonomyCategory/ap-2-3-9          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Accessoires pour chiens > Friandises pour chiens
gid://shopify/TaxonomyCategory/ap-2-4            : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques
gid://shopify/TaxonomyCategory/ap-2-4-1          : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Tuyaux pour bassin et aquariums
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Tuyaux pour bassin et aquariums > Tuyaux à bulles
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie > Poissons et fournitures aquatiques > Tuyaux pour bassin et aquariums > Tubes enroulés
