# Shopify Product Taxonomy - Mappings: 0.18.0
# Format:
# product_category_id: {input_product_category_id}, full_name: {full_name} => product_category_id: {output_product_category_id}, full_name: {full_name}

product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-3, full_name: TBD => product_category_id: ["500059"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-4, full_name: TBD => product_category_id: ["4999"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-4-1, full_name: TBD => product_category_id: ["8069"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-4-2, full_name: TBD => product_category_id: ["7142"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-4-3, full_name: TBD => product_category_id: ["5000"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-5, full_name: TBD => product_category_id: ["5001"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-5-1, full_name: TBD => product_category_id: ["5001"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-5-2, full_name: TBD => product_category_id: ["5001"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-5-3, full_name: TBD => product_category_id: ["5001"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-5-4, full_name: TBD => product_category_id: ["5001"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-5-5, full_name: TBD => product_category_id: ["5001"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-5-6, full_name: TBD => product_category_id: ["5001"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-5-7, full_name: TBD => product_category_id: ["5001"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-5-9, full_name: TBD => product_category_id: ["5001"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-5-10, full_name: TBD => product_category_id: ["5001"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-5-11, full_name: TBD => product_category_id: ["5001"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-5-12, full_name: TBD => product_category_id: ["5001"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-6, full_name: TBD => product_category_id: ["5002"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-6-1, full_name: TBD => product_category_id: ["5002"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-6-3, full_name: TBD => product_category_id: ["5002"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-6-4, full_name: TBD => product_category_id: ["5002"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-2-6-5, full_name: TBD => product_category_id: ["5002"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3, full_name: TBD => product_category_id: ["5"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-1, full_name: TBD => product_category_id: ["7372"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-2, full_name: TBD => product_category_id: ["499900"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-3, full_name: TBD => product_category_id: ["3530"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-3-1, full_name: TBD => product_category_id: ["543682"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-3-2, full_name: TBD => product_category_id: ["543681"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-4, full_name: TBD => product_category_id: ["5094"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-5, full_name: TBD => product_category_id: ["7428"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-6, full_name: TBD => product_category_id: ["7274"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-6-1, full_name: TBD => product_category_id: ["7274"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-6-2, full_name: TBD => product_category_id: ["7274"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-6-3, full_name: TBD => product_category_id: ["7274"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-6-4, full_name: TBD => product_category_id: ["7274"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-6-5, full_name: TBD => product_category_id: ["7274"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-7, full_name: TBD => product_category_id: ["5010"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-8, full_name: TBD => product_category_id: ["8123"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-9, full_name: TBD => product_category_id: ["5011"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-9-1, full_name: TBD => product_category_id: ["5011"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-9-2, full_name: TBD => product_category_id: ["5011"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-9-3, full_name: TBD => product_category_id: ["5011"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-9-4, full_name: TBD => product_category_id: ["5011"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-3-9-5, full_name: TBD => product_category_id: ["5011"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4, full_name: TBD => product_category_id: ["6"], full_name: TBD        
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-1, full_name: TBD => product_category_id: ["505303"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-1-1, full_name: TBD => product_category_id: ["505303"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-1-2, full_name: TBD => product_category_id: ["505303"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-1-3, full_name: TBD => product_category_id: ["505303"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-1-4, full_name: TBD => product_category_id: ["505303"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-1-5, full_name: TBD => product_category_id: ["505303"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-2, full_name: TBD => product_category_id: ["505307"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-2-1, full_name: TBD => product_category_id: ["505307"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-2-2, full_name: TBD => product_category_id: ["505307"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-2-3, full_name: TBD => product_category_id: ["505307"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-2-4, full_name: TBD => product_category_id: ["505307"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-2-5, full_name: TBD => product_category_id: ["505307"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-3, full_name: TBD => product_category_id: ["500038"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-3-1, full_name: TBD => product_category_id: ["500038"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-3-2, full_name: TBD => product_category_id: ["500038"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-3-3, full_name: TBD => product_category_id: ["500038"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-3-4, full_name: TBD => product_category_id: ["500038"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-3-5, full_name: TBD => product_category_id: ["500038"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-3-6, full_name: TBD => product_category_id: ["500038"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-3-7, full_name: TBD => product_category_id: ["500038"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-3-8, full_name: TBD => product_category_id: ["500038"], full_name: TBD   
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-4, full_name: TBD => product_category_id: ["5019"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-4-1, full_name: TBD => product_category_id: ["5019"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-4-2, full_name: TBD => product_category_id: ["5019"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-4-3, full_name: TBD => product_category_id: ["5019"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-4-4, full_name: TBD => product_category_id: ["5019"], full_name: TBD     
product_category_id: gid://shopify/TaxonomyCategory/ap-2-4-4-5, full_name: TBD => product_category_id: ["5019"], full_name: TBD     
