# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Chovatelství
gid://shopify/TaxonomyCategory/ap-2-2-3          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Příslušenství pro nábytek pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-4          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Stelivo pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-4-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Stelivo pro kočky > Sáčky do kočičích záchodů
gid://shopify/TaxonomyCategory/ap-2-2-4-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Stelivo pro kočky > Podložky pod kočičí záchody
gid://shopify/TaxonomyCategory/ap-2-2-4-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Stelivo pro kočky > Nádoby na stelivo pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-5          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky
gid://shopify/TaxonomyCategory/ap-2-2-5-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Míčky a škádlítka
gid://shopify/TaxonomyCategory/ap-2-2-5-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Hračky se šantou kočičí
gid://shopify/TaxonomyCategory/ap-2-2-5-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Žvýkací hračky
gid://shopify/TaxonomyCategory/ap-2-2-5-4        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Peříčka a škádlítka
gid://shopify/TaxonomyCategory/ap-2-2-5-5        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Interaktivní hračky
gid://shopify/TaxonomyCategory/ap-2-2-5-6        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Laserové hračky
gid://shopify/TaxonomyCategory/ap-2-2-5-7        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Hlavolamy a hračky na pamlsky
gid://shopify/TaxonomyCategory/ap-2-2-5-9        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Pískací hračky
gid://shopify/TaxonomyCategory/ap-2-2-5-10       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Vycpané hračky a plyšáci
gid://shopify/TaxonomyCategory/ap-2-2-5-11       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Tunely
gid://shopify/TaxonomyCategory/ap-2-2-5-12       : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Hračky pro kočky > Hůlky
gid://shopify/TaxonomyCategory/ap-2-2-6          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro kočky > Pamlsky pro kočky
gid://shopify/TaxonomyCategory/ap-2-3            : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy
gid://shopify/TaxonomyCategory/ap-2-3-1          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Vložky do plenek pro psy
gid://shopify/TaxonomyCategory/ap-2-3-2          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Plenky pro psy
gid://shopify/TaxonomyCategory/ap-2-3-3          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Krmivo pro psy
gid://shopify/TaxonomyCategory/ap-2-3-3-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Krmivo pro psy > Volně prodejné krmivo pro psy
gid://shopify/TaxonomyCategory/ap-2-3-3-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Krmivo pro psy > Krmivo pro psy na předpis
gid://shopify/TaxonomyCategory/ap-2-3-4          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Psí boudy
gid://shopify/TaxonomyCategory/ap-2-3-5          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Boudy a výběhy pro psy – příslušenství
gid://shopify/TaxonomyCategory/ap-2-3-6          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Boudy a výběhy pro psy
gid://shopify/TaxonomyCategory/ap-2-3-6-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Boudy a výběhy pro psy > Kotce pro psy
gid://shopify/TaxonomyCategory/ap-2-3-6-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Boudy a výběhy pro psy > Výběhy pro psy
gid://shopify/TaxonomyCategory/ap-2-3-6-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Boudy a výběhy pro psy > Interiérové psí boudy/kennelky
gid://shopify/TaxonomyCategory/ap-2-3-6-4        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Boudy a výběhy pro psy > Exteriérové psí boudy/kennelky
gid://shopify/TaxonomyCategory/ap-2-3-6-5        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Boudy a výběhy pro psy > Přenosné psí boudy/kennelky
gid://shopify/TaxonomyCategory/ap-2-3-7          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Hračky pro psy
gid://shopify/TaxonomyCategory/ap-2-3-8          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Běžecké trenažery pro psy
gid://shopify/TaxonomyCategory/ap-2-3-9          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro psy > Pamlsky pro psy
gid://shopify/TaxonomyCategory/ap-2-4            : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy
gid://shopify/TaxonomyCategory/ap-2-4-1          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potrubí k akváriím a jezírkům
gid://shopify/TaxonomyCategory/ap-2-4-1-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potrubí k akváriím a jezírkům > Vzduchování
gid://shopify/TaxonomyCategory/ap-2-4-1-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potrubí k akváriím a jezírkům > Spirálové hadice
gid://shopify/TaxonomyCategory/ap-2-4-1-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potrubí k akváriím a jezírkům > Pružné hadičky
gid://shopify/TaxonomyCategory/ap-2-4-1-4        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potrubí k akváriím a jezírkům > Pevné hadičky
gid://shopify/TaxonomyCategory/ap-2-4-1-5        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potrubí k akváriím a jezírkům > Standardní hadičky
gid://shopify/TaxonomyCategory/ap-2-4-2          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Vzduchovací kameny a difuzéry pro akvária
gid://shopify/TaxonomyCategory/ap-2-4-2-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Vzduchovací kameny a difuzéry pro akvária > Vzduchové difusory
gid://shopify/TaxonomyCategory/ap-2-4-2-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Vzduchovací kameny a difuzéry pro akvária > Vzduchovací kameny ve tvaru disku
gid://shopify/TaxonomyCategory/ap-2-4-2-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Vzduchovací kameny a difuzéry pro akvária > Standardní vzduchovací kameny
gid://shopify/TaxonomyCategory/ap-2-4-2-4        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Vzduchovací kameny a difuzéry pro akvária > Válcové vzduchovací kameny
gid://shopify/TaxonomyCategory/ap-2-4-2-5        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Vzduchovací kameny a difuzéry pro akvária > Vzduchovací stěny
gid://shopify/TaxonomyCategory/ap-2-4-3          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potřeby pro čištění akvárií
gid://shopify/TaxonomyCategory/ap-2-4-3-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potřeby pro čištění akvárií > Škrabky na řasu
gid://shopify/TaxonomyCategory/ap-2-4-3-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potřeby pro čištění akvárií > Rukavice na čištění akvária
gid://shopify/TaxonomyCategory/ap-2-4-3-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potřeby pro čištění akvárií > Čisticí kartáče
gid://shopify/TaxonomyCategory/ap-2-4-3-4        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potřeby pro čištění akvárií > Čistící prostředky
gid://shopify/TaxonomyCategory/ap-2-4-3-5        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potřeby pro čištění akvárií > Vysavače na čištění štěrku
gid://shopify/TaxonomyCategory/ap-2-4-3-6        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potřeby pro čištění akvárií > Čistící houby a stěrky
gid://shopify/TaxonomyCategory/ap-2-4-3-7        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potřeby pro čištění akvárií > Sifony
gid://shopify/TaxonomyCategory/ap-2-4-3-8        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Potřeby pro čištění akvárií > Čističe nádrží
gid://shopify/TaxonomyCategory/ap-2-4-4          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní dekorace
gid://shopify/TaxonomyCategory/ap-2-4-4-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní dekorace > Akvarijní pozadí
gid://shopify/TaxonomyCategory/ap-2-4-4-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní dekorace > Akvarijní jeskyně a úkryty
gid://shopify/TaxonomyCategory/ap-2-4-4-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní dekorace > Akvarijní kameny
gid://shopify/TaxonomyCategory/ap-2-4-4-4        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní dekorace > Akvarijní substráty
gid://shopify/TaxonomyCategory/ap-2-4-4-5        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní dekorace > Umělé rostliny
gid://shopify/TaxonomyCategory/ap-2-4-4-6        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní dekorace > Bublinkové dekorace
gid://shopify/TaxonomyCategory/ap-2-4-4-7        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní dekorace > Dekorativní kořeny
gid://shopify/TaxonomyCategory/ap-2-4-4-8        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní dekorace > Ornamenty
gid://shopify/TaxonomyCategory/ap-2-4-4-9        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní dekorace > Vraky lodí
gid://shopify/TaxonomyCategory/ap-2-4-5          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Filtry do akvárií
gid://shopify/TaxonomyCategory/ap-2-4-5-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Filtry do akvárií > Externí a kanystrové akvarijní filtry
gid://shopify/TaxonomyCategory/ap-2-4-5-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Filtry do akvárií > Závěsné (HOB - Hang-On-Back) akvarijní filtry
gid://shopify/TaxonomyCategory/ap-2-4-5-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Filtry do akvárií > Vnitřní akvarijní filtry
gid://shopify/TaxonomyCategory/ap-2-4-5-4        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Filtry do akvárií > Houbové akvarijní filtry
gid://shopify/TaxonomyCategory/ap-2-4-5-5        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Filtry do akvárií > Podštěrkové akvarijní filtry
gid://shopify/TaxonomyCategory/ap-2-4-6          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní síťky
gid://shopify/TaxonomyCategory/ap-2-4-6-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní síťky > Nabírací síťky
gid://shopify/TaxonomyCategory/ap-2-4-6-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní síťky > Síťky na krevety
gid://shopify/TaxonomyCategory/ap-2-4-6-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní síťky > Ponožkové sítě
gid://shopify/TaxonomyCategory/ap-2-4-6-4        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní síťky > Standardní síťky
gid://shopify/TaxonomyCategory/ap-2-4-7          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Štěrk a písek do akvária
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Štěrk a písek do akvária > Akvarijní půda
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Štěrk a písek do akvária > Aragonitové písky
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Štěrk a písek do akvária > Drcené korály
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Štěrk a písek do akvária > Skleněné kameny
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Štěrk a písek do akvária > Štěrk
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Štěrk a písek do akvária > Oblázky
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Štěrk a písek do akvária > Písek
gid://shopify/TaxonomyCategory/ap-2-4-8          : Chovatelství > Potřeby pro domácí zvířata > Potřeby pro ryby a vodní živočichy > Akvarijní osvětlení
